MERCADO;PRIORIDAD;THE NOTE;DIENUM;CLIENTE;SOITEM;TEMPER;ALLOY;LEN;FINISH;RUTA;PRENSA;PZS;KG;X;ESTADO;PESO LINEAL;PXP
GMP;P5 2025 O ;(en blanco);2400 ST- 004;2-C.I. ENERGIA SOLAR S.A.;151297-1;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 4;30;129,6;PENDIENTE;;0,696774194;4,32
GMP;P5 2025 O ;(en blanco);2400 ST- 006;2-C.I. ENERGIA SOLAR S.A.;151297-3;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-3;6;41,04;PENDIENTE;;1,103225806;6,84
GMP;P5 2025 O ;(en blanco);2400 ST- 007;2-C.I. ENERGIA SOLAR S.A.;151297-4;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-2;4;29,84;PENDIENTE;;1,203225806;7,46
GMP;P5 2025 O ;(en blanco);2400 ST- 007;2-C.I. ENERGIA SOLAR S.A.;151297-7;T6;6063;5,1;Duranar Arcadia Silver;PINTURA;PRENSA 7-2;3;18,42;PENDIENTE;;1,203921569;6,14
GMP;P5 2025 O ;(en blanco);2400 ST- 008;2-C.I. ENERGIA SOLAR S.A.;151297-2;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-4;7;57,61;PENDIENTE;;1,327419355;8,23
GMP;P5 2025 O ;(en blanco);2400 ST- 009;2-C.I. ENERGIA SOLAR S.A.;151297-5;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-1;10;70,4;PENDIENTE;;1,135483871;7,04
GMP;P5 2025 O ;(en blanco);2400 ST- 009;2-C.I. ENERGIA SOLAR S.A.;151297-8;T6;6063;5,1;Duranar Arcadia Silver;PINTURA;PRENSA 7-1;5;28,95;PENDIENTE;;1,135294118;5,79
GMP;P5 2025 O ;(en blanco);2400 ST- 012;2-C.I. ENERGIA SOLAR S.A.;151297-11;T6;6063;5,1;Duranar Arcadia Silver;PINTURA;PRENSA 7-3;5;29,8;PENDIENTE;;1,168627451;5,96
GMP;P5 2025 O ;(en blanco);2400 ST- 012;2-C.I. ENERGIA SOLAR S.A.;151297-6;T6;6063;6,2;Duranar Arcadia Silver;PINTURA;PRENSA 7-3;10;72,5;PENDIENTE;;1,169354839;7,25
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400 ST- 037;2-C.I. ENERGIA SOLAR S.A.;151261-33;T5;6005;6,2;Duranar Bermuda Bronze;PINTURA;PRENSA 9-2;8;160,88;PENDIENTE;;3,243548387;20,11
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400 ST- 037;2-C.I. ENERGIA SOLAR S.A.;151261-78;T5;6005;5,1;Duranar Bermuda Bronze;PINTURA;PRENSA 9-2;7;115,78;PENDIENTE;;3,243137255;16,54
GMP;P5 2025 O ;(en blanco);2400 ST- 037;2-C.I. ENERGIA SOLAR S.A.;151297-12;T5;6005;5,8;Duranar Arcadia Silver;PINTURA;PRENSA 9-2;39;733,98;PENDIENTE;;3,244827586;18,82
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400 ST- 042;2-C.I. ENERGIA SOLAR S.A.;151261-79;T6;6063;5,1;Duranar Bermuda Bronze;PINTURA;PRENSA 7-2;6;70,26;PENDIENTE;;2,296078431;11,71
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400ST-057  ;2-C.I. ENERGIA SOLAR S.A.;151261-130;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;15;49,95;PENDIENTE;;0,537096774;3,33
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400ST-057  ;2-C.I. ENERGIA SOLAR S.A.;151261-234;T6;6063;5,1;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;7;19,18;PENDIENTE;;0,537254902;2,74
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400ST-057  ;2-C.I. ENERGIA SOLAR S.A.;151261-80;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-4;14;46,62;PENDIENTE;;0,537096774;3,33
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;2400ST-057  ;2-C.I. ENERGIA SOLAR S.A.;151261-81;T6;6063;5,1;2604 Bone White;PINTURA;PRENSA 7-4;8;21,92;PENDIENTE;;0,537254902;2,74
GMP;P5 2025 O ;(en blanco);2400ST-071  ;2-C.I. ENERGIA SOLAR S.A.;151297-13;T5;6005;5,8;Duranar Arcadia Silver;PINTURA;PRENSA 9;12;305,16;PENDIENTE;;4,384482759;25,43
GMP;P5 2025 O ;(en blanco);2400ST-072  ;2-C.I. ENERGIA SOLAR S.A.;151297-14;T5;6005;5,8;Duranar Arcadia Silver;PINTURA;PRENSA 9-2;18;459,54;PENDIENTE;;4,401724138;25,53
GMP;P5 2025 O ;(en blanco);2400ST-088  ;2-C.I. ENERGIA SOLAR S.A.;151297-9;T5;6005;5,1;Duranar Arcadia Silver;PINTURA;PRENSA 10;20;290,4;PENDIENTE;;2,847058824;14,52
GMP;P5 2025 O ;(en blanco);2400ST-089  ;2-C.I. ENERGIA SOLAR S.A.;151297-10;T5;6005;5,1;Duranar Arcadia Silver;PINTURA;PRENSA 9;12;185,16;PENDIENTE;;3,025490196;15,43
GMP;P5 2025 O ;(en blanco);2400ST-089  ;2-C.I. ENERGIA SOLAR S.A.;151297-15;T5;6005;3,3;Duranar Arcadia Silver;PINTURA;PRENSA 9;7;69,93;PENDIENTE;;3,027272727;9,99
GMP;P5 2025 O ;(en blanco);2400ST-089  ;2-C.I. ENERGIA SOLAR S.A.;151297-16;T5;6005;4,1;Duranar Arcadia Silver;PINTURA;PRENSA 9;5;62,05;PENDIENTE;;3,026829268;12,41
RETAIL;P5 2025 O ;(en blanco);500Y- 005   ;2-C.I. ENERGIA SOLAR S.A.;151251-80;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-2;4;34,4;PENDIENTE;;1,387096774;8,6
RETAIL;P5 2025 O ;OC 868685-E ADDP5 X - Bodega B3 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;AAC-A-011   ;2-C.I. ENERGIA SOLAR S.A.;151186-1;T6;6063;6,2;Clear Anodized class 1;ANODIZADO;PRENSA 7-4;7;17,71;PENDIENTE;;0,408064516;2,53
RETAIL;P5 2025 O ;(en blanco);AAC-A-011   ;2-C.I. ENERGIA SOLAR S.A.;151295-12;T6;6063;5,1;Clear Anodized class 1;ANODIZADO;PRENSA 7-4;5;10,4;PENDIENTE;;0,407843137;2,08
RETAIL;P5 2025 O ;(en blanco);AAC-A-044   ;2-C.I. ENERGIA SOLAR S.A.;151295-11;T6;6063;5,1;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;5;63,85;PENDIENTE;;2,503921569;12,77
RETAIL;P5 2025 O ;OC 868711-E-PD-ACC-SP5 X - Bodega B3 Proyecto 000000003049 -> PROY STOCKESW 2024                                                                                                                                                                               ;AAC-A-1356  ;2-C.I. ENERGIA SOLAR S.A.;151259-1;T6;6063;6,2;Mill Finish;MILL;PRENSA 7-4;19;150,67;PENDIENTE;;1,279032258;7,93
RETAIL;P5 2025 O ;(en blanco);AAC-A-1356  ;2-C.I. ENERGIA SOLAR S.A.;151295-7;T6;6063;6,2;Clear Anodized class 1;ANODIZADO;PRENSA 7-4;5;39,65;PENDIENTE;;1,279032258;7,93
RETAIL;P5 2025 O ;(en blanco);AAC-A-1356  ;2-C.I. ENERGIA SOLAR S.A.;151295-8;T6;6063;6,2;Duranar Bermuda Bronze;PINTURA;PRENSA 7-4;7;55,51;PENDIENTE;;1,279032258;7,93
RETAIL;P5 2025 O ;OC 868710-E-PD-CV-P5 X - Bodega B3 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                ;AAC-PL-018  ;2-C.I. ENERGIA SOLAR S.A.;151257-1;T6;6063;6,2;Duranar Bone White;PINTURA;PRENSA 7-2;120;162;PENDIENTE;;0,217741935;1,35
RETAIL;P5 2025 O ;OC 868711-E-PD-ACC-SP5 X - Bodega B3 Proyecto 000000003049 -> PROY STOCKESW 2024                                                                                                                                                                               ;AAC-PL-019  ;2-C.I. ENERGIA SOLAR S.A.;151259-3;T6;6063;6,2;Mill Finish;MILL;PRENSA 4;75;151,5;PENDIENTE;;0,325806452;2,02
GMP;P5 2025 O ;OC 868688-E-ENTOURAGE-3-3A-4-5 X - Bodega B3 Proyecto 000000003225 -> ENTOURAGE IN THE SUN-MIAMI                                                                                                                                                               ;AAC-PL-020  ;2-C.I. ENERGIA SOLAR S.A.;151197-2;T6;6063;6,2;Mill Finish;MILL;PRENSA 7-3;5;13,5;PENDIENTE;;0,435483871;2,7
RETAIL;P5 2025 O ;OC 868711-E-PD-ACC-SP5 X - Bodega B3 Proyecto 000000003049 -> PROY STOCKESW 2024                                                                                                                                                                               ;AAC-PL-020  ;2-C.I. ENERGIA SOLAR S.A.;151259-2;T6;6063;6,2;Mill Finish;MILL;PRENSA 7-3;76;205,2;PENDIENTE;;0,435483871;2,7
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B3 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;AAC-PL-051  ;2-C.I. ENERGIA SOLAR S.A.;151250-67;T6;6063;5,1;2604 Black;PINTURA;PRENSA 7-2;6;19,98;PENDIENTE;;0,652941176;3,33
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B3 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;ALU-P-052   ;2-C.I. ENERGIA SOLAR S.A.;151250-78;T6;6063;5,1;Duranar Bone White;PINTURA;PRENSA 4;4;19,96;PENDIENTE;;0,978431373;4,99
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B3 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;ALUTR3X1X125;2-C.I. ENERGIA SOLAR S.A.;151250-33;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;10;101,2;PENDIENTE;;1,632258065;10,12
RETAIL;P5 2025 O ;OC 868714-E_RTSM6 X - Bodega B3 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                   ;ALUTR3X1X125;2-C.I. ENERGIA SOLAR S.A.;151250-37;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-4;11;111,32;PENDIENTE;;1,632258065;10,12
RETAIL;P5 2025 O ;(en blanco);CM100-023   ;2-C.I. ENERGIA SOLAR S.A.;151251-14;T6;6063;6,2;Duranar Bone White;PINTURA;PRENSA 7-4;5;10,15;LIBERADO;;0,327419355;2,03
RETAIL;P5 2025 O ;OC 868713-EII-PD-PGD-P5 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                             ;EPSD5030T07A;2-C.I. ENERGIA SOLAR S.A.;151265-18;T6;6063;6,2;Duranar Bermuda Bronze;PINTURA_ASSE;PRENSA 7-3;10;158,3;PENDIENTE;;2,553225806;15,83
RETAIL;P5 2025 O ;OC 868713-EII-PD-PGD-P5 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                             ;EPSD5030T08A;2-C.I. ENERGIA SOLAR S.A.;151265-27;T6;6063;6,2;Duranar Bermuda Bronze;PINTURA_ASSE;PRENSA 7-2;10;157,2;PENDIENTE;;2,535483871;15,72
RETAIL;P5 2025 O ;OC 868713-EII-PD-PGD-P5 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                             ;EPSD5030T08A;2-C.I. ENERGIA SOLAR S.A.;151265-33;T6;6063;6,2;Black Kynar;PINTURA_ASSE;PRENSA 7-2;10;157,2;PENDIENTE;;2,535483871;15,72
RETAIL;P5 2025 O ;OC 868715-E_IIRTSEM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW2024                                                                                                                                                                                 ;EPSD5030T08A;2-C.I. ENERGIA SOLAR S.A.;151254-22;T6;6063;6,2;Teka DS733+2601/01L;PINTURA PWR_ASSE;PRENSA 7-2;4;62,88;PENDIENTE;;2,535483871;15,72
RETAIL;P5 2025 O ;OC 868713-EII-PD-PGD-P5 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                             ;EPSD5030T10A;2-C.I. ENERGIA SOLAR S.A.;151265-30;T6;6063;6,2;Duranar Bermuda Bronze;PINTURA_ASSE;PRENSA 7-2;10;160,7;PENDIENTE;;2,591935484;16,07
RETAIL;P5 2025 O ;(en blanco);ES 1001     ;2-C.I. ENERGIA SOLAR S.A.;151251-40;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-2;9;31,95;PENDIENTE;;0,572580645;3,55
RETAIL;P5 2025 O ;(en blanco);ES 1001     ;2-C.I. ENERGIA SOLAR S.A.;151251-81;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-2;62;220,1;PENDIENTE;;0,572580645;3,55
RETAIL;P5 2025 O ;(en blanco);ES 1001     ;2-C.I. ENERGIA SOLAR S.A.;151251-84;T6;6063;5,1;2604 Bone White;PINTURA;PRENSA 7-2;9;26,28;PENDIENTE;;0,57254902;2,92
RETAIL;P5 2025 O ;(en blanco);ES 1002     ;2-C.I. ENERGIA SOLAR S.A.;151251-102;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;50;256,5;LIBERADO;;0,827419355;5,13
RETAIL;P5 2025 O ;(en blanco);ES 1002     ;2-C.I. ENERGIA SOLAR S.A.;151251-2;T6;6063;5,1;Duranar Bone White;PINTURA;PRENSA 7-4;4;16,88;LIBERADO;;0,82745098;4,22
RETAIL;P5 2025 O ;(en blanco);ES 1002     ;2-C.I. ENERGIA SOLAR S.A.;151251-82;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-4;72;369,36;LIBERADO;;0,827419355;5,13
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 1005     ;2-C.I. ENERGIA SOLAR S.A.;151255-4;T6;6063;5,1;Duranar Bermuda Bronze;PINTURA;PRENSA 7-4;11;41,58;PENDIENTE;;0,741176471;3,78
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 1005     ;2-C.I. ENERGIA SOLAR S.A.;151255-6;T6;6063;6,2;Duranar Bermuda Bronze;PINTURA;PRENSA 7-4;15;69;PENDIENTE;;0,741935484;4,6
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 1006     ;2-C.I. ENERGIA SOLAR S.A.;151255-1;T6;6063;6,2;Duranar Bermuda Bronze;PINTURA;PRENSA 7-4;22;115,28;PENDIENTE;;0,84516129;5,24
RETAIL;P5 2025 O ;(en blanco);ES 1006     ;2-C.I. ENERGIA SOLAR S.A.;151251-116;T6;6063;5,6;2604 Bone White;PINTURA;PRENSA 7-4;4;18,92;LIBERADO;;0,844642857;4,73
RETAIL;P5 2025 O ;(en blanco);ES 1006     ;2-C.I. ENERGIA SOLAR S.A.;151251-41;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;46;241,04;LIBERADO;;0,84516129;5,24
RETAIL;P5 2025 O ;(en blanco);ES 1006     ;2-C.I. ENERGIA SOLAR S.A.;151251-72;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-4;101;529,24;LIBERADO;;0,84516129;5,24
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 1007     ;2-C.I. ENERGIA SOLAR S.A.;151255-3;T6;6063;6,2;Duranar Bermuda Bronze;PINTURA;PRENSA 5;25;57;PENDIENTE;;0,367741935;2,28
RETAIL;P5 2025 O ;(en blanco);ES 1007     ;2-C.I. ENERGIA SOLAR S.A.;151251-76;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 5;360;820,8;LIBERADO;;0,367741935;2,28
RETAIL;P5 2025 O ;(en blanco);ES 1007     ;2-C.I. ENERGIA SOLAR S.A.;151251-83;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 5;77;175,56;LIBERADO;;0,367741935;2,28
RETAIL;P5 2025 O ;(en blanco);ES 1007     ;2-C.I. ENERGIA SOLAR S.A.;151251-86;T6;6063;5,1;2604 Bone White;PINTURA;PRENSA 5;6;11,28;LIBERADO;;0,368627451;1,88
RETAIL;P5 2025 O ;(en blanco);ES 1013     ;2-C.I. ENERGIA SOLAR S.A.;151251-13;T6;6063;6,2;Duranar Bone White;PINTURA;PRENSA 4;4;5,52;LIBERADO;;0,222580645;1,38
RETAIL;P5 2025 O ;OC 868715-E_IIRTSEM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                ;ES 1014     ;2-C.I. ENERGIA SOLAR S.A.;151256-13;T6;6063;3,2;Clear Anodized class 1;ANODIZADO;PRENSA 4;480;153,6;PENDIENTE;;0,1;0,32
RETAIL;P5 2025 O ;OC 868715-E_IIRTSEM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                ;ES 1014     ;2-C.I. ENERGIA SOLAR S.A.;151256-8;T6;6063;3,2;2604 Bermuda Bronze;PINTURA;PRENSA 4;480;153,6;PENDIENTE;;0,1;0,32
RETAIL;P5 2025 O ;OC 868715-E_IIRTSEM6 X - Bodega B6 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                ;ES 1014     ;2-C.I. ENERGIA SOLAR S.A.;151256-9;T6;6063;3,2;2604 Bone White;PINTURA;PRENSA 4;480;153,6;PENDIENTE;;0,1;0,32
RETAIL;P5 2025 O ;(en blanco);ES 1014     ;2-C.I. ENERGIA SOLAR S.A.;151251-57;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 4;54;32,94;LIBERADO;;0,098387097;0,61
RETAIL;P5 2025 O ;(en blanco);ES 1015     ;2-C.I. ENERGIA SOLAR S.A.;151251-12;T6;6063;6,2;Embero DS739+2301/02L;PINTURA PWR;PRENSA 5;10;9,1;PENDIENTE;;0,146774194;0,91
RETAIL;P5 2025 O ;(en blanco);ES 1015     ;2-C.I. ENERGIA SOLAR S.A.;151251-58;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 5;65;59,15;PENDIENTE;;0,146774194;0,91
RETAIL;P5 2025 O ;(en blanco);ES 1015     ;2-C.I. ENERGIA SOLAR S.A.;151251-9;T6;6063;6,2;Clear Anodized class 1;ANODIZADO;PRENSA 5;7;6,37;PENDIENTE;;0,146774194;0,91
RETAIL;P5 2025 O ;(en blanco);ES 1052     ;2-C.I. ENERGIA SOLAR S.A.;151251-106;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;34;151,98;LIBERADO;;0,720967742;4,47
RETAIL;P5 2025 O ;(en blanco);ES 1052     ;2-C.I. ENERGIA SOLAR S.A.;151251-117;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-4;139;621,33;LIBERADO;;0,720967742;4,47
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 1102     ;2-C.I. ENERGIA SOLAR S.A.;151255-14;T6;6063;5,1;Duranar Bermuda Bronze;PINTURA;PRENSA 7-1;35;35,35;PENDIENTE;;0,198039216;1,01
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 1102     ;2-C.I. ENERGIA SOLAR S.A.;151255-2;T6;6063;6,2;Duranar Bermuda Bronze;PINTURA;PRENSA 7-1;80;98,4;PENDIENTE;;0,198387097;1,23
RETAIL;P5 2025 O ;(en blanco);ES 1106     ;2-C.I. ENERGIA SOLAR S.A.;151251-118;T6;6063;5,1;2604 Bone White;PINTURA;PRENSA 5;4;3,92;PENDIENTE;;0,192156863;0,98
RETAIL;P5 2025 O ;(en blanco);ES 1502     ;2-C.I. ENERGIA SOLAR S.A.;151251-164;T6;6063;7,6;2604 Bone White;PINTURA;PRENSA 7-4;4;5;PENDIENTE;;0,164473684;1,25
RETAIL;P5 2025 O ;(en blanco);ES 1502     ;2-C.I. ENERGIA SOLAR S.A.;151251-68;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-4;166;169,32;PENDIENTE;;0,164516129;1,02
RETAIL;P5 2025 O ;(en blanco);ES 1502     ;2-C.I. ENERGIA SOLAR S.A.;151251-89;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-4;94;95,88;PENDIENTE;;0,164516129;1,02
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 1505     ;2-C.I. ENERGIA SOLAR S.A.;151255-12;T6;6063;5,5;Duranar Bermuda Bronze;PINTURA;PRENSA 4;18;70,2;PENDIENTE;;0,709090909;3,9
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 1505     ;2-C.I. ENERGIA SOLAR S.A.;151255-7;T6;6063;5,1;Duranar Bermuda Bronze;PINTURA;PRENSA 4;79;285,98;PENDIENTE;;0,709803922;3,62
RETAIL;P5 2025 O ;(en blanco);ES 2001     ;2-C.I. ENERGIA SOLAR S.A.;151251-101;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-1;29;263,03;LIBERADO;;1,462903226;9,07
RETAIL;P5 2025 O ;(en blanco);ES 2001     ;2-C.I. ENERGIA SOLAR S.A.;151251-108;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-1;87;789,09;LIBERADO;;1,462903226;9,07
RETAIL;P5 2025 O ;(en blanco);ES 2001     ;2-C.I. ENERGIA SOLAR S.A.;151251-112;T6;6063;5,1;2604 Bermuda Bronze;PINTURA;PRENSA 7-1;10;74,6;LIBERADO;;1,462745098;7,46
RETAIL;P5 2025 O ;(en blanco);ES 2001     ;2-C.I. ENERGIA SOLAR S.A.;151251-142;T6;6063;5,5;2604 Bone White;PINTURA;PRENSA 7-1;8;64,4;LIBERADO;;1,463636364;8,05
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 2002     ;2-C.I. ENERGIA SOLAR S.A.;151255-8;T6;6063;6,2;Duranar Bermuda Bronze;PINTURA;PRENSA 7-3;23;25,53;PENDIENTE;;0,179032258;1,11
RETAIL;P5 2025 O ;(en blanco);ES 2002     ;2-C.I. ENERGIA SOLAR S.A.;151251-114;T6;6063;5,6;2604 Bermuda Bronze;PINTURA;PRENSA 7-3;8;8;LIBERADO;;0,178571429;1
RETAIL;P5 2025 O ;(en blanco);ES 2002     ;2-C.I. ENERGIA SOLAR S.A.;151251-73;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-3;100;111;LIBERADO;;0,179032258;1,11
RETAIL;P5 2025 O ;(en blanco);ES 2002     ;2-C.I. ENERGIA SOLAR S.A.;151251-95;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 7-3;47;52,17;LIBERADO;;0,179032258;1,11
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 2003     ;2-C.I. ENERGIA SOLAR S.A.;151255-9;T6;6063;5,1;Duranar Bermuda Bronze;PINTURA;PRENSA 7-4;51;213,69;PENDIENTE;;0,821568627;4,19
RETAIL;P5 2025 O ;(en blanco);ES 2003     ;2-C.I. ENERGIA SOLAR S.A.;151251-154;T6;6063;5,4;2604 Bone White;PINTURA;PRENSA 7-4;39;173,16;PENDIENTE;;0,822222222;4,44
RETAIL;P5 2025 O ;(en blanco);ES 2003     ;2-C.I. ENERGIA SOLAR S.A.;151251-74;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 7-4;127;647,7;PENDIENTE;;0,822580645;5,1
GMP;P5 2025 O ;OC 868691-E-NOMI-OX-DEL1-2 X - Bodega B2 Proyecto 000000003215 -> NOMI 2 -MIAMI                                                                                                                                                                                ;ES 2011     ;2-C.I. ENERGIA SOLAR S.A.;151208-13;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 5;48;73,44;LIBERADO;;0,246774194;1,53
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 2011     ;2-C.I. ENERGIA SOLAR S.A.;151255-13;T6;6063;6;Duranar Bermuda Bronze;PINTURA;PRENSA 5;22;32,56;PENDIENTE;;0,246666667;1,48
RETAIL;P5 2025 O ;(en blanco);ES 2011     ;2-C.I. ENERGIA SOLAR S.A.;151251-11;T6;6063;5,1;Clear Anodized class 1;ANODIZADO;PRENSA 5;4;5,04;LIBERADO;;0,247058824;1,26
RETAIL;P5 2025 O ;(en blanco);ES 2011     ;2-C.I. ENERGIA SOLAR S.A.;151251-127;T6;6063;5,3;2604 Bermuda Bronze;PINTURA;PRENSA 5;4;5,24;LIBERADO;;0,247169811;1,31
RETAIL;P5 2025 O ;(en blanco);ES 2011     ;2-C.I. ENERGIA SOLAR S.A.;151251-35;T6;6063;6,2;2604 Bermuda Bronze;PINTURA;PRENSA 5;93;142,29;LIBERADO;;0,246774194;1,53
RETAIL;P5 2025 O ;(en blanco);ES 2011     ;2-C.I. ENERGIA SOLAR S.A.;151251-61;T6;6063;6,2;2604 Bone White;PINTURA;PRENSA 5;83;126,99;LIBERADO;;0,246774194;1,53
RETAIL;P5 2025 O ;OC 868716-E_RVSEM6 X - Bodega B2 Proyecto 000000003049 -> PROY STOCK ESW 2024                                                                                                                                                                                  ;ES 2012B    ;2-C.I. ENERGIA SOLAR S.A.;151255-16;T6;6063;5,9;Duranar Bermuda Bronze;PINTURA;PRENSA 7-1;24;246,96;PENDIENTE;;1,744067797;10,29
RETAIL;P5 2025 O ;(en blanco);ES 2012B    ;2-C.I. ENERGIA SOLAR S.A.;151251-130;T6;6063;4,5;2604 Bone White;PINTURA;PRENSA 7-1;4;31,4;LIBERADO;;1,744444444;7,85
RETAIL;P5 2025 O ;(en blanco);ES 2012B    ;2-C.I. ENERGIA SOLAR S.A.;151251-136;T6;6063;4;2604 Bone White;PINTURA;PRENSA 7-1;9;62,82;LIBERADO;;1,745;6,98
RETAIL;P5 2025 O ;(en blanco);ES 2012B    ;2-C.I. ENERGIA SOLAR S.A.;151251-143;T6;6063;5,5;2604 Bone White;PINTURA;PRENSA 7-1;9;86,31;LIBERADO;;1,743636364;9,59
